0,1733763022.7774787,33,489,12
1,1733763022.7792423,-4740,15951,-5099
2,1733763022.78034,-466,1788,-705
0,1733763022.824519,201,336,53
1,1733763022.8271382,-3870,15263,-4896
2,1733763022.8297675,-476,1656,-610
0,1733763022.9369886,-17,465,-268
1,1733763022.9512877,-4533,14210,-4396
2,1733763022.9789495,-337,1768,-518
0,1733763023.0850453,360,-231,208
1,1733763023.130574,-3304,14973,-3347
2,1733763023.162539,-363,1954,-476
0,1733763023.2397723,26,180,253
1,1733763023.240966,-4911,16920,-4314
2,1733763023.2423222,-385,2007,-650
0,1733763023.246432,19,647,-234
1,1733763023.2477632,-3976,14285,-5834
2,1733763023.2497144,-468,1791,-697
0,1733763023.25322,217,155,5
1,1733763023.2544386,-4029,14335,-4367
2,1733763023.2557056,-376,1792,-455
0,1733763023.2598362,31,255,47
1,1733763023.2608385,-3504,15013,-3968
2,1733763023.2623272,-360,2014,-498
0,1733763023.267467,407,-419,522
1,1733763023.2702203,-3645,16401,-3517
2,1733763023.2717116,-426,1984,-511
0,1733763023.2781518,-58,689,30
1,1733763023.2799695,-4067,16230,-5353
2,1733763023.2809916,-453,1798,-647
0,1733763023.2863493,194,335,-75
1,1733763023.28775,-3553,14603,-4971
2,1733763023.2890058,-445,1643,-608
0,1733763023.2925599,110,296,308
1,1733763023.2936995,-3396,15259,-3833
2,1733763023.2947679,-442,1909,-504
0,1733763023.2992945,-25,477,298
1,1733763023.3004534,-3901,16343,-5450
2,1733763023.3017008,-474,1921,-666
0,1733763023.3064764,255,563,307
1,1733763023.3080876,-4446,15206,-5174
2,1733763023.3106494,-470,1712,-611
0,1733763023.3146803,-74,783,-352
1,1733763023.315706,-3401,13524,-4736
2,1733763023.3170228,-467,1661,-580
0,1733763023.3203743,307,-282,231
1,1733763023.3213942,-3739,13163,-4205
2,1733763023.322307,-388,1840,-418
0,1733763023.3254614,64,345,575
1,1733763023.3266685,-2505,14547,-4025
2,1733763023.3277092,-458,2123,-555
0,1733763023.332453,-55,812,-16
1,1733763023.3343167,-3811,14788,-5988
2,1733763023.3359764,-562,1807,-728
0,1733763023.3424742,194,283,-112
1,1733763023.34831,-3364,12504,-4494
0,1733763023.3523784,-131,616,-211
2,1733763023.3531985,-466,1728,-560
1,1733763023.3556461,-2978,13496,-4676
2,1733763023.3579795,-381,1669,-525
1,1733763023.3797677,-2674,15503,-3862
0,1733763023.3801625,264,-619,470
