category,X,Y,Z,category,X,Y,Z,category,X,Y,Z,timestamp
0.0,39.0,249.0,119.33333333333333,1.0,16576.5,206.75,404.75,2.0,2069.0,24.0,48.25,1733764556
0.0,40.27906976744186,249.2325581395349,117.69767441860465,1.0,16563.190476190477,198.5,393.85714285714283,2.0,2070.6428571428573,24.642857142857142,47.95238095238095,1733764557
0.0,43.24242424242424,249.5151515151515,120.60606060606061,1.0,16569.647058823528,200.02941176470588,374.5882352941176,2.0,2070.264705882353,24.735294117647058,46.05882352941177,1733764558
0.0,44.96774193548387,252.1290322580645,121.16129032258064,1.0,16565.74193548387,198.51612903225808,361.0,2.0,2070.2903225806454,24.806451612903224,44.54838709677419,1733764559
0.0,46.4054054054054,245.27027027027026,117.67567567567568,1.0,16571.27027027027,198.56756756756758,355.2432432432432,2.0,2070.810810810811,23.972972972972972,43.567567567567565,1733764560
0.0,47.26470588235294,248.41176470588235,119.41176470588235,1.0,16570.117647058825,200.2058823529412,338.38235294117646,2.0,2071.1470588235293,24.147058823529413,41.088235294117645,1733764561
0.0,42.0,248.19230769230768,116.6923076923077,1.0,16571.52,199.84,340.28,2.0,2070.2,24.48,42.2,1733764562
0.0,45.166666666666664,247.26190476190476,118.83333333333333,1.0,16569.674418604653,199.7906976744186,343.3720930232558,2.0,2070.7441860465115,24.6046511627907,42.69767441860465,1733764563
0.0,44.05882352941177,245.3235294117647,121.55882352941177,1.0,16567.941176470587,199.7941176470588,329.0882352941176,2.0,2071.0588235294117,24.264705882352942,39.529411764705884,1733764564
0.0,46.064516129032256,246.09677419354838,121.06451612903226,1.0,16565.83870967742,198.1290322580645,321.83870967741933,2.0,2070.8064516129034,24.64516129032258,39.74193548387097,1733764565
0.0,46.567567567567565,245.02702702702703,120.45945945945945,1.0,16573.513513513513,195.51351351351352,314.7837837837838,2.0,2070.6216216216217,24.486486486486488,38.945945945945944,1733764566
0.0,45.294117647058826,244.7058823529412,118.67647058823529,1.0,16570.29411764706,199.85294117647058,310.94117647058823,2.0,2070.235294117647,24.264705882352942,38.205882352941174,1733764567
0.0,44.088235294117645,246.55882352941177,120.08823529411765,1.0,16573.235294117647,203.11764705882354,312.38235294117646,2.0,2070.8529411764707,24.11764705882353,38.1764705882353,1733764568
0.0,41.724137931034484,248.13793103448276,120.48275862068965,1.0,16568.96551724138,200.48275862068965,310.44827586206895,2.0,2070.5862068965516,24.137931034482758,37.86206896551724,1733764569
0.0,46.743589743589745,246.4102564102564,122.23076923076923,1.0,16567.0,198.6153846153846,308.71794871794873,2.0,2070.974358974359,24.615384615384617,37.97435897435897,1733764570
0.0,44.94117647058823,246.2058823529412,120.88235294117646,1.0,16566.5,201.1764705882353,300.20588235294116,2.0,2070.764705882353,24.441176470588236,36.705882352941174,1733764571
0.0,41.80769230769231,246.07692307692307,120.07692307692308,1.0,16566.923076923078,203.03846153846155,297.46153846153845,2.0,2070.3076923076924,24.96153846153846,37.38461538461539,1733764572
0.0,42.61904761904762,246.47619047619048,119.30952380952381,1.0,16570.833333333332,200.71428571428572,300.45238095238096,2.0,2070.8333333333335,24.61904761904762,36.976190476190474,1733764573
0.0,41.411764705882355,243.38235294117646,118.82352941176471,1.0,16566.352941176472,200.7941176470588,302.6764705882353,2.0,2069.676470588235,24.38235294117647,37.14705882352941,1733764574
0.0,39.088235294117645,244.7058823529412,120.67647058823529,1.0,16570.0,194.08823529411765,297.05882352941177,2.0,2070.529411764706,24.264705882352942,37.14705882352941,1733764575
0.0,48.774193548387096,242.83870967741936,119.41935483870968,1.0,16569.677419354837,199.16129032258064,299.03225806451616,2.0,2070.516129032258,24.548387096774192,37.516129032258064,1733764576
0.0,42.810810810810814,240.97297297297297,120.45945945945945,1.0,16566.891891891893,199.8918918918919,299.4864864864865,2.0,2070.6486486486488,24.243243243243242,36.86486486486486,1733764577
0.0,47.1764705882353,249.0,118.6470588235294,1.0,16574.41176470588,202.02941176470588,298.2647058823529,2.0,2070.970588235294,23.88235294117647,36.76470588235294,1733764578
0.0,41.0,245.59259259259258,123.96296296296296,1.0,16567.296296296296,196.40740740740742,294.5925925925926,2.0,2071.259259259259,24.0,36.925925925925924,1733764579
0.0,43.829268292682926,249.02439024390245,122.95121951219512,1.0,16570.536585365855,198.85365853658536,293.6829268292683,2.0,2070.7804878048782,24.317073170731707,36.24390243902439,1733764580
0.0,45.0,247.05882352941177,122.58823529411765,1.0,16564.323529411766,195.91176470588235,288.5882352941176,2.0,2070.5588235294117,24.41176470588235,36.05882352941177,1733764581
0.0,44.84615384615385,250.92307692307693,119.73076923076923,1.0,16569.423076923078,202.0,293.84615384615387,2.0,2070.5384615384614,24.653846153846153,36.07692307692308,1733764582
0.0,40.80952380952381,248.92857142857142,118.69047619047619,1.0,16567.928571428572,197.11904761904762,288.7142857142857,2.0,2070.4285714285716,23.88095238095238,35.76190476190476,1733764583
0.0,43.11764705882353,247.23529411764707,121.41176470588235,1.0,16571.882352941175,198.73529411764707,289.9117647058824,2.0,2070.294117647059,24.323529411764707,35.44117647058823,1733764584
0.0,43.8235294117647,243.7058823529412,118.88235294117646,1.0,16567.176470588234,196.6764705882353,290.0,2.0,2070.9117647058824,24.441176470588236,35.85294117647059,1733764585
0.0,41.310344827586206,247.20689655172413,120.58620689655173,1.0,16570.172413793105,199.82758620689654,288.0,2.0,2070.6206896551726,24.482758620689655,35.37931034482759,1733764586
0.0,45.333333333333336,245.94871794871796,120.94871794871794,1.0,16568.0,199.05128205128204,284.56410256410254,2.0,2071.0,23.94871794871795,35.17948717948718,1733764587
0.0,43.529411764705884,245.8235294117647,120.05882352941177,1.0,16566.41176470588,196.14705882352942,282.29411764705884,2.0,2070.6176470588234,24.735294117647058,35.5,1733764588
0.0,44.241379310344826,245.68965517241378,119.24137931034483,1.0,16568.862068965518,201.0344827586207,283.0689655172414,2.0,2070.448275862069,24.344827586206897,35.241379310344826,1733764589
0.0,47.23076923076923,245.12820512820514,120.48717948717949,1.0,16567.923076923078,198.53846153846155,285.05128205128204,2.0,2070.7948717948716,25.0,35.15384615384615,1733764590
0.0,42.94117647058823,247.1764705882353,120.88235294117646,1.0,16572.70588235294,201.35294117647058,281.2352941176471,2.0,2070.676470588235,24.08823529411765,35.35294117647059,1733764591
0.0,42.82142857142857,247.35714285714286,119.60714285714286,1.0,16569.535714285714,196.71428571428572,280.7857142857143,2.0,2071.1428571428573,23.964285714285715,35.642857142857146,1733764592
0.0,45.6,244.725,119.775,1.0,16566.6,200.45,282.15,2.0,2071.3,24.75,34.65,1733764593
