0,1733763678.9225018,-1051,-699,2924
1,1733763678.9238138,-447,10178,7094
2,1733763678.9309533,-856,1690,1828
0,1733763678.9780636,-4103,14141,-15954
1,1733763678.9938238,-6875,6100,-25581
2,1733763678.9969394,-818,-435,-3096
0,1733763679.01257,3945,-5994,-63
1,1733763679.0170603,-5021,26762,-5153
2,1733763679.0178957,-836,723,-274
0,1733763679.087577,1491,-2024,5191
1,1733763679.119265,-6935,23517,2090
2,1733763679.1377296,-789,2640,539
0,1733763679.2516844,-227,503,1871
1,1733763679.2633843,-486,6119,6123
2,1733763679.2806754,-238,1834,1046
0,1733763679.3932488,-2987,12541,-17871
1,1733763679.4175131,-3028,5374,-23201
2,1733763679.4209328,-718,219,-3113
0,1733763679.4495902,4250,-5348,109
1,1733763679.4506938,-5058,26609,-2495
2,1733763679.4519677,-1840,1497,15
0,1733763679.4568834,403,-865,6956
1,1733763679.4583592,-8231,25670,757
2,1733763679.46013,-890,2404,292
0,1733763679.4647045,-716,813,406
1,1733763679.466168,-1219,4470,1689
2,1733763679.4678996,-235,1032,951
0,1733763679.4724987,-2803,15098,-16919
1,1733763679.4736528,-3610,9724,-20124
2,1733763679.4748242,-399,-166,-2963
0,1733763679.479657,4775,-6991,5000
1,1733763679.480668,-6448,32764,-3905
2,1733763679.4818435,-833,2084,-385
0,1733763679.485682,-37,-3283,7839
1,1733763679.4870467,-6661,26303,-951
2,1733763679.4883857,-1114,2928,182
0,1733763679.4927595,-2281,-649,-116
1,1733763679.4940407,1234,5174,2226
2,1733763679.4960182,44,1004,866
0,1733763679.5004086,-4649,15743,-15260
1,1733763679.5018008,-6625,13984,-16477
2,1733763679.5032794,-668,970,-2901
0,1733763679.507275,5649,-9014,5118
1,1733763679.50826,-5265,32764,-3969
2,1733763679.509451,-583,3788,-275
0,1733763679.5150065,2636,-620,7995
1,1733763679.5154681,-4479,24875,-652
2,1733763679.516532,-953,2877,381
0,1733763679.5207677,-1026,122,-1305
1,1733763679.5220797,-37,2524,913
2,1733763679.5231416,26,842,524
0,1733763679.5273895,-4768,14139,-13695
1,1733763679.529282,-6312,18166,-15873
2,1733763679.5305407,-370,1406,-2828
0,1733763679.533842,4223,-7782,8215
1,1733763679.5351458,-6419,32764,-4853
2,1733763679.536378,-676,4010,-439
0,1733763679.5403051,1693,-2757,8113
1,1733763679.5415258,-3904,24924,-1510
2,1733763679.5437317,-672,2893,-42
0,1733763679.5477788,-543,494,-2404
1,1733763679.552127,-1537,4897,-2721
2,1733763679.5526662,-61,600,378
0,1733763679.5562332,-3690,16493,-12500
1,1733763679.5652332,-11355,24533,-18091
2,1733763679.5675182,-377,1404,-2624
0,1733763679.5896058,5107,-6790,9347
1,1733763679.597265,-5807,32764,-5153
2,1733763679.5986605,-797,4219,-568
0,1733763679.6204994,466,-5350,8442
1,1733763679.6225958,-943,24282,-2439
2,1733763679.6309555,-850,3244,-224
0,1733763679.6528857,-1823,-380,-2301
1,1733763679.6552403,-1666,10737,-2407
2,1733763679.656267,70,590,284
0,1733763679.6770532,-4026,17651,-11562
1,1733763679.6865208,-11034,24883,-18779
2,1733763679.6886182,-708,1586,-2357
0,1733763679.7092552,5498,-8796,9994
1,1733763679.719396,-7021,32764,-5647
2,1733763679.7205975,-817,4228,-531
0,1733763679.7422876,964,-6772,8087
1,1733763679.7436604,-589,22577,-386
2,1733763679.7529874,-785,3218,-126
0,1733763679.7753093,-2599,-867,-2388
1,1733763679.7763026,-948,10376,-1745
2,1733763679.777332,58,511,-59
0,1733763679.7986822,-5634,17431,-10436
1,1733763679.8086476,-6725,21584,-16374
2,1733763679.8100054,-749,1942,-2497
0,1733763679.8317266,4834,-8583,10131
1,1733763679.8417318,-7075,29875,-7757
2,1733763679.8428824,-742,4254,-534
0,1733763679.864661,2658,-6335,8008
1,1733763679.8659582,188,23202,2065
2,1733763679.8751428,-303,2984,-116
0,1733763679.8972018,-1059,547,-2891
1,1733763679.8984208,-784,12867,-3881
2,1733763679.9000416,-234,505,-257
0,1733763679.9208767,-4566,16933,-11160
1,1733763679.9310489,-12719,26563,-17246
2,1733763679.9322221,-467,2071,-2203
0,1733763679.9544544,4222,-7958,9805
1,1733763679.9641209,-6550,30646,-9181
2,1733763679.9655893,-846,4321,-442
0,1733763679.9870443,1071,-3613,6003
1,1733763679.9884503,-423,18649,-1740
2,1733763679.9975982,-457,3023,-245
0,1733763680.020227,-1191,144,-2403
1,1733763680.0215645,-551,15548,-3214
2,1733763680.0227158,-241,809,-416
0,1733763680.0434213,-3670,16757,-7859
1,1733763680.0532966,-12512,28604,-16565
2,1733763680.0544412,-1442,3167,-2505
0,1733763680.076628,5743,-9465,11473
1,1733763680.0862234,-4206,30036,-7110
2,1733763680.0877225,-729,4337,-592
0,1733763680.109101,172,-6172,5602
1,1733763680.110532,1566,14226,-1444
2,1733763680.1200645,-617,2838,-335
0,1733763680.1419861,-2078,-2835,-777
1,1733763680.1431873,-341,15939,-2451
2,1733763680.1528013,-137,1094,-182
0,1733763680.1658123,-4647,15527,-7696
1,1733763680.175445,-11793,28092,-15622
2,1733763680.1767738,-1494,3010,-2127
0,1733763680.1986284,5177,-8401,11394
1,1733763680.2085488,-5956,25998,-10346
2,1733763680.21006,-890,3916,-698
0,1733763680.2320306,1860,-5292,4866
1,1733763680.2329679,2271,16930,-1650
2,1733763680.2420037,-568,2784,-82
0,1733763680.2642457,-1812,-987,-2892
1,1733763680.2657073,-696,17550,-2625
2,1733763680.275098,59,992,-244
0,1733763680.2972143,-5197,13004,-7253
