0,1733762454.496623,-5928,-1923,-1840
0,1733762454.5165231,-3130,-1531,-1234
1,1733762454.5181072,-13686,-4724,1204
2,1733762454.52699,-1834,-719,-63
0,1733762454.5780795,-5363,-1646,-1292
1,1733762454.581016,-11658,-7686,-4227
2,1733762454.5831604,-1540,-988,-562
0,1733762454.6441004,-5983,-2678,-2161
1,1733762454.6829758,-13964,-5145,209
2,1733762454.6933227,-2048,-798,-218
0,1733762454.827841,-5205,-2601,-790
1,1733762454.851163,-13807,-8776,-4047
2,1733762454.9031556,-1926,-953,-495
0,1733762454.9774957,-7248,-3130,-2479
1,1733762454.9927645,-15694,-5898,-2258
2,1733762455.0058231,-1691,-999,-424
0,1733762455.011963,-3738,-1776,-749
1,1733762455.0136483,-14597,-6458,-2255
2,1733762455.0148962,-1945,-749,-276
0,1733762455.0200117,-7807,-2977,-2575
1,1733762455.021445,-13411,-9945,-4331
2,1733762455.0227907,-1875,-1067,-527
0,1733762455.028448,-2907,-860,-397
1,1733762455.0297687,-16125,-6195,-1363
2,1733762455.0317507,-2059,-795,-20
0,1733762455.0364382,-7553,-2210,-1918
1,1733762455.038007,-14037,-9352,-5113
2,1733762455.041164,-1465,-974,-533
0,1733762455.0454397,-2665,-738,-418
1,1733762455.0466244,-17917,-5694,-264
2,1733762455.0477452,-1730,-475,-13
0,1733762455.0511594,-6643,-1034,-1373
1,1733762455.052011,-16401,-9849,-5282
2,1733762455.0559895,-1327,-1041,-655
0,1733762455.0579922,-2801,-508,-851
1,1733762455.0590687,-14776,-5456,336
2,1733762455.060462,-1481,-494,200
0,1733762455.0635543,-4841,-1299,-923
1,1733762455.0646725,-13175,-8337,-5455
2,1733762455.066022,-1437,-1196,-794
0,1733762455.0701985,-3397,-350,-1043
1,1733762455.071623,-14047,-4389,55
2,1733762455.0736566,-1934,-876,-345
0,1733762455.0792983,-3019,-228,232
1,1733762455.0812511,-8780,-7660,-4523
2,1733762455.0824106,-1798,-1164,-625
0,1733762455.0879445,-3377,-1652,-1069
