2,1733763890.0443459,-301,1773,-574
0,1733763890.0656893,115,-166,182
1,1733763890.0680804,-2928,15059,-4437
2,1733763890.0697935,-475,1850,-545
0,1733763890.1180987,60,-319,315
1,1733763890.1211174,-2773,15643,-4391
2,1733763890.1240373,-480,1863,-515
0,1733763890.1716695,62,-71,224
1,1733763890.1908755,-2203,15319,-5140
2,1733763890.2094562,-583,1778,-542
0,1733763890.2747009,22,-28,249
1,1733763890.3091066,-3749,15292,-4077
2,1733763890.326886,-557,1952,-598
0,1733763890.411479,88,160,235
1,1733763890.4217355,-3069,14587,-4614
2,1733763890.4922917,-504,1914,-556
0,1733763890.5425742,16,89,104
1,1733763890.5657144,-3038,15145,-4509
2,1733763890.5670478,-547,1894,-584
0,1733763890.5705993,53,-104,14
1,1733763890.571524,-2948,13924,-4426
2,1733763890.5724206,-478,1853,-529
0,1733763890.5765765,-4,270,-93
1,1733763890.5778675,-3923,14816,-4660
2,1733763890.579027,-515,1914,-567
0,1733763890.5842242,40,203,-135
1,1733763890.5857484,-2908,14146,-4912
2,1733763890.5872903,-540,1811,-598
1,1733763890.594172,-4455,14580,-4523
0,1733763890.5945249,-12,296,-92
2,1733763890.5960782,-458,1919,-594
0,1733763890.6015315,14,199,-68
1,1733763890.6028316,-3546,14055,-4785
2,1733763890.6045148,-474,1887,-554
0,1733763890.6095123,12,431,-39
1,1733763890.6107597,-4241,14680,-4815
2,1733763890.6119432,-544,1904,-606
0,1733763890.6153598,-15,317,20
1,1733763890.616513,-4012,14148,-4696
2,1733763890.6175601,-469,1912,-601
0,1733763890.6228943,-38,526,-60
1,1733763890.6240456,-4200,14478,-4707
2,1733763890.6262016,-543,1862,-588
0,1733763890.6305518,8,81,-44
1,1733763890.631821,-3136,13963,-4958
2,1733763890.633091,-575,1865,-674
0,1733763890.638523,-39,523,-12
1,1733763890.6402082,-4790,14310,-5220
2,1733763890.6443572,-524,1899,-640
0,1733763890.6469774,-22,482,-101
1,1733763890.6481571,-4221,14379,-4788
2,1733763890.6496873,-424,1898,-590
0,1733763890.6535196,21,728,-100
1,1733763890.6550913,-4191,14273,-5125
2,1733763890.6573575,-589,1835,-647
0,1733763890.664033,-18,382,-115
1,1733763890.6660469,-3960,13839,-5245
2,1733763890.6699514,-480,1840,-702
0,1733763890.6973894,-36,529,-86
1,1733763890.7017682,-4204,15137,-5083
2,1733763890.7019234,-341,1834,-607
0,1733763890.7074182,68,698,-219
1,1733763890.7112675,-4273,14338,-4884
2,1733763890.7113688,-408,1871,-658
0,1733763890.7175827,97,496,-265
1,1733763890.7187605,-4655,14981,-5206
2,1733763890.7198138,-305,1809,-618
0,1733763890.7260096,49,419,-44
1,1733763890.733476,-3833,15349,-4775
2,1733763890.735301,-379,1820,-593
0,1733763890.755218,85,674,-207
1,1733763890.7565806,-4472,15086,-4878
2,1733763890.7667115,-345,1835,-652
0,1733763890.7881947,62,614,-157
1,1733763890.7893586,-4171,14591,-5188
2,1733763890.7988071,-338,1821,-658
0,1733763890.8114412,48,369,15
1,1733763890.8216622,-4058,15261,-4718
2,1733763890.8227959,-328,1874,-620
0,1733763890.8445358,87,703,-151
1,1733763890.8544724,-4504,14912,-4833
2,1733763890.856353,-331,1871,-603
0,1733763890.8770814,73,528,-114
1,1733763890.8784094,-4279,15309,-5272
2,1733763890.8879132,-329,1813,-640
0,1733763890.9100735,12,514,-49
1,1733763890.911072,-3955,15252,-4718
2,1733763890.9123247,-330,1838,-616
0,1733763890.9347146,19,637,-105
1,1733763890.9436462,-4509,14936,-4650
2,1733763890.9452465,-340,1916,-681
0,1733763890.967364,42,826,-170
1,1733763890.9693704,-4464,14899,-5506
2,1733763890.977102,-326,1886,-665
0,1733763890.9995146,-53,535,212
1,1733763891.001172,-3875,15322,-4786
2,1733763891.0099554,-316,1924,-587
0,1733763891.023135,30,611,-1
1,1733763891.0328085,-3762,15128,-5004
2,1733763891.0345032,-336,1875,-583
0,1733763891.055664,22,471,-96
1,1733763891.0658917,-4670,15105,-5121
2,1733763891.0673566,-306,1928,-696
0,1733763891.0883613,-1,393,63
1,1733763891.0896318,-3300,15704,-4892
2,1733763891.0993245,-293,1859,-574
0,1733763891.121223,26,586,4
1,1733763891.1226647,-4223,14733,-4770
2,1733763891.124395,-318,1897,-653
0,1733763891.1449542,49,792,-52
1,1733763891.1545672,-3492,15458,-5514
2,1733763891.1557422,-305,1886,-693
0,1733763891.1775742,21,324,375
1,1733763891.1791077,-3324,15124,-4787
2,1733763891.188409,-404,1853,-598
0,1733763891.2104,15,442,206
1,1733763891.212179,-3151,15183,-4783
2,1733763891.2137892,-339,1894,-655
0,1733763891.2345421,-42,673,252
1,1733763891.2437687,-3714,14730,-5502
2,1733763891.2451727,-343,1892,-685
0,1733763891.2666657,-33,79,333
1,1733763891.2767107,-2608,15395,-4655
2,1733763891.2782257,-324,1926,-630
0,1733763891.2996771,32,343,229
1,1733763891.301527,-4195,14993,-4471
2,1733763891.3101363,-271,1884,-579
0,1733763891.332228,13,320,124
1,1733763891.334234,-2610,14934,-4992
2,1733763891.3356106,-281,1930,-659
0,1733763891.3558393,52,109,440
1,1733763891.365771,-3123,14893,-4634
2,1733763891.367481,-341,1909,-540
0,1733763891.3887563,26,-5,270
1,1733763891.3901012,-2861,14859,-4570
2,1733763891.399616,-317,1923,-525
0,1733763891.4213505,55,598,168
1,1733763891.4227166,-3671,14952,-5114
2,1733763891.4242425,-278,1914,-594
0,1733763891.445163,-25,-242,388
1,1733763891.4547453,-2035,14914,-4495
2,1733763891.4560978,-308,1907,-558
0,1733763891.4785242,171,132,258
1,1733763891.4876938,-2951,15170,-4472
2,1733763891.4895236,-383,1800,-538
0,1733763891.5104048,67,133,97
1,1733763891.5118952,-2476,14583,-5127
2,1733763891.521113,-454,1857,-520
0,1733763891.543276,144,136,240
1,1733763891.545043,-2718,14616,-4911
2,1733763891.5463316,-442,1790,-491
0,1733763891.56702,2,-14,183
1,1733763891.576802,-3085,14854,-5157
2,1733763891.5786095,-498,1804,-535
0,1733763891.6009502,36,707,60
1,1733763891.6019113,-3024,15022,-5487
2,1733763891.6105418,-408,1728,-603
0,1733763891.6324847,-87,-12,284
1,1733763891.6348963,-3036,14802,-5459
2,1733763891.6362455,-439,1781,-599
0,1733763891.655996,6,291,88
1,1733763891.6665819,-2962,14721,-5006
2,1733763891.6685514,-458,1765,-601
0,1733763891.6889555,-42,475,148
1,1733763891.6905177,-2575,14930,-5674
2,1733763891.7017558,-382,1749,-636
0,1733763891.7681015,-9,258,147
1,1733763891.7847645,-2580,14898,-5314
2,1733763891.8074553,-541,1779,-595
0,1733763891.9451356,-62,309,195
1,1733763891.964773,-2664,15018,-5293
2,1733763891.9874392,-408,1754,-611
0,1733763892.078788,2,648,251
1,1733763892.0813453,-2934,15354,-5449
2,1733763892.1086516,-442,1737,-631
0,1733763892.1335008,-1,165,420
1,1733763892.1390474,-2475,15362,-5621
2,1733763892.1423068,-451,1790,-695
0,1733763892.1572056,1,286,270
1,1733763892.1585948,-2696,15336,-5092
2,1733763892.159905,-528,1878,-610
0,1733763892.165037,98,515,252
1,1733763892.1664624,-2680,15326,-5448
2,1733763892.1679602,-432,1799,-650
0,1733763892.1717465,77,352,402
1,1733763892.1729512,-2248,15462,-5412
2,1733763892.1739256,-617,1828,-631
0,1733763892.1773112,93,222,289
1,1733763892.178225,-2879,15361,-4552
2,1733763892.179096,-508,1851,-643
0,1733763892.1839662,62,232,375
1,1733763892.1851568,-2497,15467,-5241
2,1733763892.1861684,-528,1849,-606
0,1733763892.1899385,120,-30,448
1,1733763892.1911411,-2510,15348,-5133
2,1733763892.192151,-539,1846,-661
0,1733763892.1957693,5,88,507
